path,score,label,split
6.1_120484.jpg,6.1,61,train
5.3_118541.jpg,5.3,53,test
6.6_116594.jpg,6.6,66,train
7.7_79588.jpg,7.7,77,train
7.2_205873.jpg,7.2,72,train
5.8_93493.jpg,5.8,58,test
7.3_112701.jpg,7.3,73,test
5.6_71282.jpg,5.6,56,train
2.8_54240.jpg,2.8,28,train
7.6_203632.jpg,7.6,76,test
5.8_214388.jpg,5.8,58,train
6.0_245573.jpg,6.0,60,train
7.2_103186.jpg,7.2,72,train
4.4_103678.jpg,4.4,44,train
6.5_69945.jpg,6.5,65,train
8.4_19760.jpg,8.4,84,train
7.9_62467.jpg,7.9,79,train
5.1_116168.jpg,5.1,51,train
5.2_94612.jpg,5.2,52,test
4.8_80603.jpg,4.8,48,test
5.6_74205.jpg,5.6,56,train
7.8_116481.jpg,7.8,78,train
7.2_46435.jpg,7.2,72,train
3.8_100649.jpg,3.8,38,test
7.7_104797.jpg,7.7,77,train
7.4_58390.jpg,7.4,74,train
6.1_100827.jpg,6.1,61,train
5.4_100613.jpg,5.4,54,test
6.6_52100.jpg,6.6,66,train
7.5_47034.jpg,7.5,75,train
5.8_117582.jpg,5.8,58,train
8.0_221023.jpg,8.0,80,test
7.6_50086.jpg,7.6,76,train
6.3_196708.jpg,6.3,63,train
6.3_369295.jpg,6.3,63,train
3.0_121262.jpg,3.0,30,train
5.9_120112.jpg,5.9,59,train
7.6_112769.jpg,7.6,76,train
7.2_107756.jpg,7.2,72,train
6.9_285280.jpg,6.9,69,train
6.0_110763.jpg,6.0,60,train
6.7_116683.jpg,6.7,67,train
6.2_125211.jpg,6.2,62,train
6.0_140447.jpg,6.0,60,train
6.3_75930.jpg,6.3,63,train
6.3_328828.jpg,6.3,63,train
7.7_22599.jpg,7.7,77,train
7.7_82949.jpg,7.7,77,train
7.0_76637.jpg,7.0,70,train
6.3_367479.jpg,6.3,63,test
6.3_90693.jpg,6.3,63,train
6.9_79668.jpg,6.9,69,train
7.2_120034.jpg,7.2,72,train
6.6_82242.jpg,6.6,66,train
7.3_47030.jpg,7.3,73,train
6.8_100944.jpg,6.8,68,train
8.1_51459.jpg,8.1,81,train
6.4_103976.jpg,6.4,64,train
7.0_101026.jpg,7.0,70,test
5.9_119675.jpg,5.9,59,train
6.4_206762.jpg,6.4,64,train
6.7_28358.jpg,6.7,67,train
4.9_120701.jpg,4.9,49,train
7.3_94980.jpg,7.3,73,train
7.4_118954.jpg,7.4,74,train
7.3_214730.jpg,7.3,73,train
6.9_119079.jpg,6.9,69,test
6.5_322023.jpg,6.5,65,train
5.7_82968.jpg,5.7,57,train
7.4_155388.jpg,7.4,74,train
5.2_119327.jpg,5.2,52,train
4.7_240462.jpg,4.7,47,test
7.1_301976.jpg,7.1,71,train
8.3_71143.jpg,8.3,83,train
8.0_16641.jpg,8.0,80,train
7.6_112619.jpg,7.6,76,train
8.4_51201.jpg,8.4,84,train
6.7_300214.jpg,6.7,67,train
7.3_77362.jpg,7.3,73,train
7.5_354575.jpg,7.5,75,train
7.4_259182.jpg,7.4,74,train
5.9_109370.jpg,5.9,59,train
5.4_88708.jpg,5.4,54,test
5.9_111622.jpg,5.9,59,test
5.8_94819.jpg,5.8,58,train
7.3_86543.jpg,7.3,73,train
7.2_48563.jpg,7.2,72,train
5.4_108147.jpg,5.4,54,train
7.3_89006.jpg,7.3,73,train
7.7_361862.jpg,7.7,77,test
7.7_29442.jpg,7.7,77,train
7.6_243133.jpg,7.6,76,train
7.7_118929.jpg,7.7,77,train
4.7_107387.jpg,4.7,47,test
6.4_87985.jpg,6.4,64,test
6.8_84116.jpg,6.8,68,train
7.8_89218.jpg,7.8,78,train
7.4_97106.jpg,7.4,74,train
7.4_84423.jpg,7.4,74,train
6.5_101329.jpg,6.5,65,test
7.0_35959.jpg,7.0,70,train
7.2_104740.jpg,7.2,72,train
5.6_70634.jpg,5.6,56,train
6.5_94072.jpg,6.5,65,train
6.0_90887.jpg,6.0,60,train
7.1_119033.jpg,7.1,71,train
7.0_112556.jpg,7.0,70,train
6.5_244244.jpg,6.5,65,train
4.8_119484.jpg,4.8,48,test
3.8_28346.jpg,3.8,38,test
7.2_137363.jpg,7.2,72,train
7.0_39853.jpg,7.0,70,train
6.7_44410.jpg,6.7,67,train
7.3_55100.jpg,7.3,73,train
6.6_118863.jpg,6.6,66,train
6.5_85970.jpg,6.5,65,train
7.7_53318.jpg,7.7,77,test
6.3_94631.jpg,6.3,63,test
7.5_53172.jpg,7.5,75,train
7.8_20697.jpg,7.8,78,train
6.1_110823.jpg,6.1,61,train
6.8_115641.jpg,6.8,68,train
6.5_199727.jpg,6.5,65,train
6.5_273435.jpg,6.5,65,train
5.9_74599.jpg,5.9,59,train
6.8_237572.jpg,6.8,68,train
5.0_66130.jpg,5.0,50,train
7.0_342213.jpg,7.0,70,train
6.6_238321.jpg,6.6,66,train
4.6_120317.jpg,4.6,46,test
5.9_120603.jpg,5.9,59,train
8.0_48028.jpg,8.0,80,train
6.3_120108.jpg,6.3,63,train
6.6_118044.jpg,6.6,66,train
3.9_75783.jpg,3.9,39,test
3.9_220514.jpg,3.9,39,test
7.4_70643.jpg,7.4,74,train
7.6_101605.jpg,7.6,76,train
7.2_82474.jpg,7.2,72,train
5.6_91178.jpg,5.6,56,train
7.9_80310.jpg,7.9,79,train
5.1_265808.jpg,5.1,51,train
7.5_305206.jpg,7.5,75,train
6.7_296572.jpg,6.7,67,train
4.8_94169.jpg,4.8,48,train
6.7_290823.jpg,6.7,67,test
5.8_93215.jpg,5.8,58,test
7.5_86643.jpg,7.5,75,train
5.7_84695.jpg,5.7,57,train
6.7_70689.jpg,6.7,67,train
6.6_78111.jpg,6.6,66,test
7.9_120363.jpg,7.9,79,train
8.3_74896.jpg,8.3,83,train
7.5_41855.jpg,7.5,75,train
6.3_47580.jpg,6.3,63,test
4.2_112438.jpg,4.2,42,test
6.4_114214.jpg,6.4,64,test
7.5_238380.jpg,7.5,75,train
8.0_16332.jpg,8.0,80,test
6.0_72895.jpg,6.0,60,train
6.1_120008.jpg,6.1,61,train
4.7_98251.jpg,4.7,47,train
5.7_156323.jpg,5.7,57,train
8.0_44706.jpg,8.0,80,train
7.4_220726.jpg,7.4,74,train
3.9_58007.jpg,3.9,39,test
7.1_117039.jpg,7.1,71,train
5.4_103095.jpg,5.4,54,test
6.0_98536.jpg,6.0,60,train
5.4_102432.jpg,5.4,54,train
6.2_110939.jpg,6.2,62,train
6.1_85549.jpg,6.1,61,train
7.5_106966.jpg,7.5,75,train
5.7_357054.jpg,5.7,57,train
